Name,Address,Mobile,email,Category,location,experience,rateing,working_day,working_hour,description
MAHADEVA AYYAR C.S.ZZ,"RETD, DISTRICT JUDGE,CHENNAIGADLILLS ROAD,",9984005357,mmahadeva ayyar c.s.zz@gmail.com,arbitration,hyderabad,14,2.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis MAHADEVA AYYAR C.S.ZZ is Experienced in the Practice areas of  arbitrationand  him/her have a total experience in the field in more than  14  And also have a  2.0  Rateing and Mr/miss  MAHADEVA AYYAR C.S.ZZ is Verified Lawyer
GOVINDA MENON A.V.,"""AYODHYA""KUMBIDI PO(VIA) KUTTIPURAM,SOUTH MALABAR",9904083886,ggovinda menon a.v.@gmail.com,armed-forces-tribunal,itangar,9,4.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis GOVINDA MENON A.V. is Experienced in the Practice areas of  armed-forces-tribunaland  him/her have a total experience in the field in more than  9  And also have a  4.0  Rateing and Mr/miss  GOVINDA MENON A.V. is Verified Lawyer
SRINIVASA GOPALA CHARI S.T.,"SAMBANDA VILAS, 36, ANNAMALAI CHETTY ROAD, CHENNAI 7",9950343703,ssrinivasa gopala chari s.t.@gmail.com,banking-finance,dispur,7,3.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis SRINIVASA GOPALA CHARI S.T. is Experienced in the Practice areas of  banking-financeand  him/her have a total experience in the field in more than  7  And also have a  3.0  Rateing and Mr/miss  SRINIVASA GOPALA CHARI S.T. is Verified Lawyer
SANKARA AYYAR S.E.,"8, ARISIKARA STREET,CHENNAIMYLAPORE",9939482439,ssankara ayyar s.e.@gmail.com,cheque-bounce,patna,15,3.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis SANKARA AYYAR S.E. is Experienced in the Practice areas of  cheque-bounceand  him/her have a total experience in the field in more than  15  And also have a  3.0  Rateing and Mr/miss  SANKARA AYYAR S.E. is Verified Lawyer
KRISHNA IYER R.V.,"7, CHITRAKULAM NORTH STREET,MYLAPORE",9963208129,kkrishna iyer r.v.@gmail.com,child-custody,raipur,9,3.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis KRISHNA IYER R.V. is Experienced in the Practice areas of  child-custodyand  him/her have a total experience in the field in more than  9  And also have a  3.0  Rateing and Mr/miss  KRISHNA IYER R.V. is Verified Lawyer
VENKATARAMANAYYAR K.,"4, LAKSHMIPURAM,                                                                    GANDHI NAGAR, SALEM",9905624242,vvenkataramanayyar k.@gmail.com,civil,panaji,8,4.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis VENKATARAMANAYYAR K. is Experienced in the Practice areas of  civiland  him/her have a total experience in the field in more than  8  And also have a  4.0  Rateing and Mr/miss  VENKATARAMANAYYAR K. is Verified Lawyer
SITARAMA AIYAR R.,"22, ANSARI STREET,COIMBATORERAMNAGAR,",9960052319,ssitarama aiyar r.@gmail.com,consumer-court,gandhinagar,1,4.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis SITARAMA AIYAR R. is Experienced in the Practice areas of  consumer-courtand  him/her have a total experience in the field in more than  1  And also have a  4.0  Rateing and Mr/miss  SITARAMA AIYAR R. is Verified Lawyer
VENKATESA IYAR S.N.,"13, GOPALAPURAM,COIMBATORE",9943934288,vvenkatesa iyar s.n.@gmail.com,corporate,chandigarh,6,4.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis VENKATESA IYAR S.N. is Experienced in the Practice areas of  corporateand  him/her have a total experience in the field in more than  6  And also have a  4.0  Rateing and Mr/miss  VENKATESA IYAR S.N. is Verified Lawyer
RAMASWAMI AIYAR T.S.,"SANTI NIKETAN, 56, KATCHERI ROAD, MYLAPORE, CHENNAI 4",9903280056,rramaswami aiyar t.s.@gmail.com,criminal,shimla,4,3.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis RAMASWAMI AIYAR T.S. is Experienced in the Practice areas of  criminaland  him/her have a total experience in the field in more than  4  And also have a  3.0  Rateing and Mr/miss  RAMASWAMI AIYAR T.S. is Verified Lawyer
SRINIVASA AIYANGAR P.M.,"15, T.P. KOIL STREET,CHENNAITRIPLICATE,",9984810849,ssrinivasa aiyangar p.m.@gmail.com,cybercrime,srinagar-and-jammu,4,3.0,MON-SAT,9:00AM - 7:30PM,Advogate Mr/Mis SRINIVASA AIYANGAR P.M. is Experienced in the Practice areas of  cybercrimeand  him/her have a total experience in the field in more than  4  And also have a  3.0  Rateing and Mr/miss  SRINIVASA AIYANGAR P.M. is Verified Lawyer
