ADVOCATE NAME,ADVOCATE ADDRESS,Mobile,email,Category,location
MAHADEVA AYYAR C.S.ZZ,"RETD, DISTRICT JUDGE,CHENNAIGADLILLS ROAD,",9984005357,mmahadeva ayyar c.s.zz@gmail.com,arbitration,hyderabad
GOVINDA MENON A.V.,"""AYODHYA""KUMBIDI PO(VIA) KUTTIPURAM,SOUTH MALABAR",9904083886,ggovinda menon a.v.@gmail.com,armed-forces-tribunal,itangar
SRINIVASA GOPALA CHARI S.T.,"SAMBANDA VILAS, 36, ANNAMALAI CHETTY ROAD, CHENNAI 7",9950343703,ssrinivasa gopala chari s.t.@gmail.com,banking-finance,dispur
SANKARA AYYAR S.E.,"8, ARISIKARA STREET,CHENNAIMYLAPORE",9939482439,ssankara ayyar s.e.@gmail.com,cheque-bounce,patna
KRISHNA IYER R.V.,"7, CHITRAKULAM NORTH STREET,MYLAPORE",9963208129,kkrishna iyer r.v.@gmail.com,child-custody,raipur
VENKATARAMANAYYAR K.,"4, LAKSHMIPURAM,                                                                    GANDHI NAGAR, SALEM",9905624242,vvenkataramanayyar k.@gmail.com,civil,panaji
SITARAMA AIYAR R.,"22, ANSARI STREET,COIMBATORERAMNAGAR,",9960052319,ssitarama aiyar r.@gmail.com,consumer-court,gandhinagar
VENKATESA IYAR S.N.,"13, GOPALAPURAM,COIMBATORE",9943934288,vvenkatesa iyar s.n.@gmail.com,corporate,chandigarh
RAMASWAMI AIYAR T.S.,"SANTI NIKETAN, 56, KATCHERI ROAD, MYLAPORE, CHENNAI 4",9903280056,rramaswami aiyar t.s.@gmail.com,criminal,shimla
SRINIVASA AIYANGAR P.M.,"15, T.P. KOIL STREET,CHENNAITRIPLICATE,",9984810849,ssrinivasa aiyangar p.m.@gmail.com,cybercrime,srinagar-and-jammu
SRIRANGACHARI A.,"47, HIGH ROAD, EGMORE, CHENNAI",9931144513,ssrirangachari a.@gmail.com,divorce,ranchi
SESHADRI AYYANGAR C.,CHENNAI,9914693807,sseshadri ayyangar c.@gmail.com,documentation,bangalore
SRINIVASARAGHAVAN K.,"159,  EAST UTTARA STREET, SRIRANGAM",9930408309,ssrinivasaraghavan k.@gmail.com,family,thiruvananthapuram
RAMACHANDRA IYER S.S.,"79 APPU MUDALI STREET,CHENNAIMYLAPORE.",9959838394,rramachandra iyer s.s.@gmail.com,gst,bhopal
RAMACHANDRA IYER S.S.,"""SRI NIVAS""#79, APPU MUDALI STREET,MYLAPORE, CHENNAI",9916232460,rramachandra iyer s.s.@gmail.com,immigration,mumbai
RANGASWAMY IYENGAR S.,"2, YOGAMBAL ST,CHENNAITHYAGARAYANAGAR,CHENNAI",9956904598,rrangaswamy iyengar s.@gmail.com,insurance,imphal
KUPPUSWAMI AYYAR A.S.,"10, SRIPURAM, TIRUNELVELI",9928071035,kkuppuswami ayyar a.s.@gmail.com,intellectual-property-rights-ipr,shillong
BHASKER C.S.,"ADVOCATE, CHENNAI",9923398084,bbhasker c.s.@gmail.com,international-law,aizawi
RAMACHANDARA AYYAR S.,"12, GROSS ST, V UNITED INDIA COLONY,CHENNAIKODAMBAKKAM",9999074127,rramachandara ayyar s.@gmail.com,labour-service,kohima
GOPALASWAMI IYENGAR R.,"19, RAMASWAMI ST,T.NAGAR",9984420915,ggopalaswami iyengar r.@gmail.com,landlord-tenant,bhubaneshwar
KRISHNAMACHARY A.K.,"7, MANGADUSWAMY IYERST, NUNGAMBAKKAM,CHENNAI",9903716805,kkrishnamachary a.k.@gmail.com,medical-negligence,chandigarh
NARASIMHACHARIAR A.,"33, MANGADUSWAMY IYER ST, NUNGAMBAKKAM,CHENNAI",9999861854,nnarasimhachariar a.@gmail.com,motor-accident,jaipur
RAMAKRISHNA AIYER K.P.,"33, ALAMELUMANGAPURAM,CHENNAIMYLAPORE",9991127218,rramakrishna aiyer k.p.@gmail.com,muslim-law,gangtok
VENKATARAMA IYER M.S.,"29, PILATHOP,MYLAPRE,",9981690190,vvenkatarama iyer m.s.@gmail.com,nri-services,chennai
NARASIMHA IYENGAR K.,"17/1 GANDHI ROAD,SIVASWAMI PURAM EXTN, SALEM",9982391221,nnarasimha iyengar k.@gmail.com,property,hyderabad
VENKATA VARADACHARI V.N.,"VEDA VILAS,CHENNAI4, HIGH ROAD,EGMORE,",9929246563,vvenkata varadachari v.n.@gmail.com,rti,agartala
NARAYANASWAMI IYER A.S.,"11, SRIPURAM, TIRUNELVELI",9950308486,nnarayanaswami iyer a.s.@gmail.com,recovery,dehradun
VENKATARAMANA L.S.,"14, APPAV NAGAR COLONY,DHARMAPURI,",9902307683,vvenkataramana l.s.@gmail.com,startup,lucknow
KRISHNASWAMI AYANGAR N.,"17, DR, RANGACHARI ROADMYLAPORE,CHENNAI",9927931595,kkrishnaswami ayangar n.@gmail.com,supreme-court,kolkata
SRINIVASA IYENGAR R.,"SANTI NIVAS,VENNAR BANK. THANJAVUR",9933029654,ssrinivasa iyengar r.@gmail.com,tax,hyderabad
RAMABHADRA IYYAR K.S.,"19, OLIVER ROAD,CHENNAIMYLAPORE",9994122805,rramabhadra iyyar k.s.@gmail.com,trademark-copyright,itangar
ARAVAMUDA IYENGAR K.,"46, NEW STREET,MYLAPORE,CHENNAI",9953583630,aaravamuda iyengar k.@gmail.com,wills-trusts,dispur
RAMACHANDRIER S.,"23, KAKATOPE STREET,MADURAI",9912870005,rramachandrier s.@gmail.com,arbitration,patna
NARASIMHAN N.,"92, VENKATACHALA MUDALI,CHENNAISTREET,MYLAPORE",9902810703,nnarasimhan n.@gmail.com,armed-forces-tribunal,raipur
VIJAYARAGHAVACHARI T.A.,"3, APPAKANNU MUDALI ST,CHENNAIROYAPETTAH,",9907404593,vvijayaraghavachari t.a.@gmail.com,banking-finance,panaji
SANKARA SASTRI K.,"9, THANDAVARA MUDALI ST,CHENNAITRIPLICANE,",9902693654,ssankara sastri k.@gmail.com,cheque-bounce,gandhinagar
RAMANUJA AYYANGAR M.S.,"RETIRED JUDGE, MAYILADUTHURAI29, TOWN EXTENSION,",9933670186,rramanuja ayyangar m.s.@gmail.com,child-custody,chandigarh
SWETARANAYAM AYYAR V.,"17 GANAL ST,SIRKALI",9982800401,sswetaranayam ayyar v.@gmail.com,civil,shimla
SESGACHALA IYER B.C.,"82, BRODIS ROAD,CHENNAIR.A. PURAM",9905899912,ssesgachala iyer b.c.@gmail.com,consumer-court,srinagar-and-jammu
RAMAKRISHNA IYER K.R.,"TATABAD,COIMBATORE",9935537467,rramakrishna iyer k.r.@gmail.com,corporate,ranchi
VARADACHARI K.,"78 G.N. CHETTY ROAD, T. NAGAR,",9946269331,vvaradachari k.@gmail.com,criminal,bangalore
VEERAGAHAVAN P.,"135, LLOYD ROAD,",9970972576,vveeragahavan p.@gmail.com,cybercrime,thiruvananthapuram
RAGHAVACHARI M.,"B-9 VEDACHALANGAR 4 TH ST, CHINGLEPUT,",9972417958,rraghavachari m.@gmail.com,divorce,bhopal
BASHYAM AIYANGAR K.M.,"2, KONDI CHETTY ST,CHENNAIG.T.",9926127066,bbashyam aiyangar k.m.@gmail.com,documentation,mumbai
RAMASWAMI IYER T.M.,"24, SULLIVAN GARDEN ROADMYLAPORE,CHENNAI",9931257282,rramaswami iyer t.m.@gmail.com,family,imphal
RANGASWAMI AYYANGAR R.,"7-A SELVAM NAGAR,",9996911135,rrangaswami ayyangar r.@gmail.com,gst,shillong
SETHURAMA SESTRI R.,"9, PELATHOPE,CHENNAIMALAPORECHENNAI",9982582655,ssethurama sestri r.@gmail.com,immigration,aizawi
SANKARANARAYANA AYYAR P.,"33-B, THIRUVENGADA MUDALY ST,PERMBUR.CHENNAI",9970490374,ssankaranarayana ayyar p.@gmail.com,insurance,kohima
VAIDYANATHA AIYAR S.,"41-A ADIMULAM PILLAI AGARAHARAM, MADURAI",9943499664,vvaidyanatha aiyar s.@gmail.com,intellectual-property-rights-ipr,bhubaneshwar
SANKARA AIYAR K.S.,"9-E EDWARD ELLIOT RD,MALAPORE,CHENNAI",9902038775,ssankara aiyar k.s.@gmail.com,international-law,chandigarh
RAMA RAO H.,"2, TIPPU SAHIB ST,MOUNT RD,CHENNAI",9984467552,rrama rao h.@gmail.com,labour-service,jaipur
RAMADASA AYYAR N.,"41, BHAKTHAPURI ST,KUMBAKONAM,",9998684656,rramadasa ayyar n.@gmail.com,landlord-tenant,gangtok
VIJAYARAGHAVACHARIAR M.S.,"10, RAMAKRISHNA ROAD,EXTENSION, SALEM",9968612353,vvijayaraghavachariar m.s.@gmail.com,medical-negligence,chennai
ANNTHARAMA IYAR V.,"134, SOLAYAPPAN ST,KUMBAKONAM",9991999858,aanntharama iyar v.@gmail.com,motor-accident,hyderabad
CHAMPAKESA IYANGAR K.S.,"23, CAR ST,TRIPLICANE,CHENNAI",9906580740,cchampakesa iyangar k.s.@gmail.com,muslim-law,agartala
RANGASWAMI NAIDU P.,"6, A&B GOODS SHED ST, MADURAI",9944514184,rrangaswami naidu p.@gmail.com,nri-services,dehradun
DESIKAN K.S.,"17-A, LUZ AVENUE,MYLAPORE,",9943754756,ddesikan k.s.@gmail.com,property,lucknow
SUBRAMANYAM C.V.,"""SRI NIVAS"",AGRAHARAM ST,ERODE,",9993729087,ssubramanyam c.v.@gmail.com,rti,kolkata
KRISHNAMACHARI G.,"5, G.S.T. ROAD,CHINGLEPUT",9901452876,kkrishnamachari g.@gmail.com,recovery,hyderabad
VENKATARAMAN K.S.,"58-A MATAM ST,KUMBAKONAM",9966850746,vvenkataraman k.s.@gmail.com,startup,itangar
APPUSWAMI P.N.,"""CHITRA""24, SECOND MAIN ROAD,GANDHINAGAR,ADYAR,CHENNAI",9963242698,aappuswami p.n.@gmail.com,supreme-court,dispur
BALASINGAM SATYA NADAR S.,"""GRACE LODGE""16, KARIAPPA MUDALI ST,PURASAWALKAM,CHENNAI",9906763904,bbalasingam satya nadar s.@gmail.com,tax,patna
RAMAMURTHI A.,"VASANTAM, QUAIL, HILL,COIMBATORE",9908327113,rramamurthi a.@gmail.com,trademark-copyright,raipur
KRISHNA ARYA G.,"142, MINT ST,CHENNAISOWCARPET",9939826415,kkrishna arya g.@gmail.com,wills-trusts,panaji
SITARAMA AIYAR P.S.,"""MAHALAKSHMI"",TRAVELLERS"" BUNGALOW ROAD,COIMBATORE",9944593082,ssitarama aiyar p.s.@gmail.com,arbitration,gandhinagar
NARASIMA AIYANGAR K.,"GANDHI NAGAR, THANJAVUR(TOWN EXTENSION)KUMBAKONAM,",9920024860,nnarasima aiyangar k.@gmail.com,armed-forces-tribunal,chandigarh
ANANDAVAN T.G.A.,"1, OLIVER ROAD,MYLAPORE",9920604046,aanandavan t.g.a.@gmail.com,banking-finance,shimla
SRINIVASA IYANGAR T.R.,"17, LAW CHAMB ERS, HIGH COURT,CHENNAI",9946391630,ssrinivasa iyangar t.r.@gmail.com,cheque-bounce,srinagar-and-jammu
KRISHNASWAMI AYYAR S.,SIVAGANGA,9996328062,kkrishnaswami ayyar s.@gmail.com,child-custody,ranchi
NARAYANASWAMI IYER A.,"17, PANDYA NAGAR,DINDIGUL",9918057095,nnarayanaswami iyer a.@gmail.com,civil,bangalore
ARUNACHALAM T.R.,"37/13 ABIRAMAPURAM,IV TH STREET,CHENNAI",9981599195,aarunachalam t.r.@gmail.com,consumer-court,thiruvananthapuram
SESHADRI AYYANGAR S.A,"105, Dr. BESANT RD,TRIPLICANE,CHENNAI",9909414424,sseshadri ayyangar s.a@gmail.com,corporate,bhopal
VENKATARAMA AYYAR V.S.,"1-A/7, HOSPITAL ROAD,CHENNAIJANGPURA,",9916572735,vvenkatarama ayyar v.s.@gmail.com,criminal,mumbai
THANDAVAM CHETTY K.,"5, RACE COURSE,COIMBATORE",9960752415,tthandavam chetty k.@gmail.com,cybercrime,imphal
VENKATARAMA AYYAR N.,"22, RAMANUJA KOOTAM ST,POONAMALLE",9984470461,vvenkatarama ayyar n.@gmail.com,divorce,shillong
RAMASWAMI IYENGAR T.,"SOUTH RAMPART, THANJAVUR",9938546121,rramaswami iyengar t.@gmail.com,documentation,aizawi
SIVARAMA IYER S.,"15, CHATRAM ST,MADURAIDINDIGUL",9924150653,ssivarama iyer s.@gmail.com,family,kohima
KRISHNAMURTHI AYYAR M.R.,"""MODERN HOME"", 3-B RANGACHARI ROAD, MYLAPORE, CHENNAI",9900024137,kkrishnamurthi ayyar m.r.@gmail.com,gst,bhubaneshwar
VIJAYA RAGHAVAN S.S.,"78, BELLS ROAD,TRIPLICANE,CHENNAI",9987186837,vvijaya raghavan s.s.@gmail.com,immigration,chandigarh
SRINIVASA AYYAR T.,"ADVOCATE,CHENNAI",9906177806,ssrinivasa ayyar t.@gmail.com,insurance,jaipur
VENKATARAMA SASTRI T.R.,"97, KAKA NAGAR,CHENNAI",9911914178,vvenkatarama sastri t.r.@gmail.com,intellectual-property-rights-ipr,gangtok
CHAKRAPANI I.R.,"7, PYCROFTS I ST,CHENNAIROYAPETTAH,",9930876293,cchakrapani i.r.@gmail.com,international-law,chennai
DHYRIANATHAN D.,"2/23 VEPERY HIGH ROAD,CHENNAI",9940735065,ddhyrianathan d.@gmail.com,labour-service,hyderabad
RAMANATHAN V.K.,"56, OLD TOWN, VELLORE,",9997425192,rramanathan v.k.@gmail.com,landlord-tenant,agartala
RAMACHANDRAN K.B.,"SUBRAMANIA PURAM, PALANI",9900262575,rramachandran k.b.@gmail.com,medical-negligence,dehradun
NARAYANASWAMI PILLAI T.M.,"CANTONMENT,TRICHY",9937962736,nnarayanaswami pillai t.m.@gmail.com,motor-accident,lucknow
NARASIMHACHAIAR N.D.,"""NADAUR HOUS""GOVT ATRS COLLEGE ROAD, COIMBATORE",9984533997,nnarasimhachaiar n.d.@gmail.com,muslim-law,kolkata
SRINIVASA RAO C.,"GOPALA PURAM, COIMBATORE",9921539836,ssrinivasa rao c.@gmail.com,nri-services,hyderabad
GOVINDAAJ AYYANGAR C.,"2, SADULLAH ST,T.NAGAR, CHENNAI",9963445566,ggovindaaj ayyangar c.@gmail.com,property,itangar
SHANMUKHANAINAR A.C.,"SAMBA ST,TENKASI",9994666119,sshanmukhanainar a.c.@gmail.com,rti,dispur
RAMASWAMI W.T.,"8/3 TENNAMARAM ST, VELLORE",9935832541,rramaswami w.t.@gmail.com,recovery,patna
RANGASWAMI AYYANGAR N.A.,"11, LAKSHMINARASIMHAN ST, T.NAGAR,CHENNAI",9935974408,rrangaswami ayyangar n.a.@gmail.com,startup,raipur
RAJAGOPALACHARI V.,"2, Dr. MUNIAPPA ROAD,KILPAUK,CHENNAI",9939503908,rrajagopalachari v.@gmail.com,supreme-court,panaji
LAKSHMI NARASIMHA AYYER M.S.,KALLAKURICHI,9933879136,llakshmi narasimha ayyer m.s.@gmail.com,tax,gandhinagar
JANAKIRAMAN P.K.,"39, GANGADHARESWARAR COIL ST,CHENNAI",9989694836,jjanakiraman p.k.@gmail.com,trademark-copyright,chandigarh
NARASIMACHARI M.E.,"8, ALAGESAN ST, VEDACHALM NAGAR, CHINGLEPUT",9901523950,nnarasimachari m.e.@gmail.com,wills-trusts,shimla
SUBRAMANYA AYYAR S.,"THENNAN CHETTY BLOCK, DEVAKOTTAI",9951940851,ssubramanya ayyar s.@gmail.com,arbitration,srinagar-and-jammu
RAJAH BAHADUR MUDALIR A.,"9, ARULANANDAM ST,CHENNAISAN THOME,MYLAPORE,",9973557978,rrajah bahadur mudalir a.@gmail.com,armed-forces-tribunal,ranchi
ARTHUR THAMBI RAJ J.M.,"43, KEELCHATRAM ROAD,THNNUR, TRICHY",9928918200,aarthur thambi raj j.m.@gmail.com,banking-finance,bangalore
THIRVENKATACHARI G.,"16, SUNKUVAR ST,TRIPLICANE,CHENNAI",9914414844,tthirvenkatachari g.@gmail.com,cheque-bounce,thiruvananthapuram
RANGASWAMY S.,"102, THAMBUCHETTY ST,CHENNAIG.T.",9990841318,rrangaswamy s.@gmail.com,child-custody,bhopal
RAMAKRISHNA IYER G.,"AVANTI,EDWARD ELLIET ROAD,CHENNAI",9930504959,rramakrishna iyer g.@gmail.com,civil,mumbai
RAMACHANDRAN P.S.,"47, APPARASWAMI KOIL ST,MYLAPORE",9973012771,rramachandran p.s.@gmail.com,consumer-court,imphal
VIRARAGHAVAN V.C.,"7, SUNDARAESWARAN ST,CHENNAIMYLAPORE",9951453731,vviraraghavan v.c.@gmail.com,corporate,shillong
RAJAN P.T.,"PALAYAM HOUSE,TALLAKULAM P.O",9963193814,rrajan p.t.@gmail.com,criminal,aizawi
VENKATACHALAM PILLAI M.,"72, MAHADAN ST,  MAYILADUTHURAI",9942152540,vvenkatachalam pillai m.@gmail.com,cybercrime,kohima
RAMASWAMI IYENGAR P.S.,"52, T.P. KOIL ST,CHENNAITRIPLICANE",9972287127,rramaswami iyengar p.s.@gmail.com,divorce,bhubaneshwar
SRINIVASA AIYANAR P.D.,"2, SWARNAMBIGAI AGRAHARM ST, SALEM",9901264312,ssrinivasa aiyanar p.d.@gmail.com,documentation,chandigarh
RAMANUJACHARI S.,"8, MAILAI RANGANATHA MUDALI ST,CHENNAIT.NAGAR,",9935556111,rramanujachari s.@gmail.com,family,jaipur
KRISHNAN E.R.,"117, LIOYD ROAD,CHENNAIGOPALA PURAM",9953358390,kkrishnan e.r.@gmail.com,gst,gangtok
SAKHA RAM RAO N.,"14, ALNDUR ROAD,CHENNAISAIDAPET,",9914318429,ssakha ram rao n.@gmail.com,immigration,chennai
RAJAPOALA AIYAR S.V.,"19-A MURRAYS GATE RD,MADURAI",9940213708,rrajapoala aiyar s.v.@gmail.com,insurance,hyderabad
SRIAMACHARI R.,"1, SULLIVAN GARDEN RD,CHENNAIMYLAPORE",9945379004,ssriamachari r.@gmail.com,intellectual-property-rights-ipr,agartala
SRINIVASAN S.,"26, MUSA SAIT ST,CHENNAIT.NAGAR",9960194480,ssrinivasan s.@gmail.com,international-law,dehradun
RAMASWAMI AYYAR T.G.,"36, APPARSWAMI KOIL ST,CHENNAIMYLAPORE",9914903821,rramaswami ayyar t.g.@gmail.com,labour-service,lucknow
SUNDARESA IYER P.S.,"22, SINGARACHARI ST,CHENNAITRIPLICANE,",9902313913,ssundaresa iyer p.s.@gmail.com,landlord-tenant,kolkata
SATYANARANANA A.,"2, SALAI STREET,CHENNAIMYLAPORE",9935157100,ssatyanaranana a.@gmail.com,medical-negligence,hyderabad
DESIKACHARI K.,"98, BRODIES ROAD,CHENNAI",9997379343,ddesikachari k.@gmail.com,motor-accident,itangar
RAMASWAMI AIYANGAR K.M.,"32, BIG MONEGAR ST,CHINGLEPUT",9979087952,rramaswami aiyangar k.m.@gmail.com,muslim-law,dispur
